genre_id,body,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3
2,-8+13の答えは？,5,-5,21,-21
2,3x+5xを簡単にすると？,8x,15x,8,3x²
2,2x+5=17のときxの値は？,6,5,7,8
2,y=4xでx=3のときyの値は？,12,7,9,16
2,y=2x+1でx=5のときyの値は？,11,9,10,12
2,x+y=9とx-y=3のときxの値は？,6,3,5,9
2,√64の値は？,8,6,7,16
2,x²=49の解は？,±7,7だけ,-7だけ,±49
2,(x+4)(x+2)を展開すると？,x²+6x+8,x²+8x+6,x²+4x+8,x²+2x+4
2,x²+7x+12を因数分解すると？,(x+3)(x+4),(x+2)(x+6),(x+1)(x+12),(x-3)(x-4)
2,一直線の角度は何度？,180度,90度,270度,360度
2,三角形の内角の和は何度？,180度,90度,270度,360度
2,半径5cmの円の直径は？,10cm,2.5cm,5cm,25cm
2,縦8cm横6cmの長方形の面積は？,48cm²,14cm²,28cm²,56cm²
2,一辺4cmの立方体の体積は？,64cm³,16cm³,32cm³,48cm³
2,6面体のサイコロを1回投げるとき偶数が出る確率は？,1/2,1/6,1/3,2/3
2,5人の点数が60点・70点・70点・80点・90点のとき中央値は？,70点,60点,75点,80点
2,y=12/xでx=3のときyの値は？,4,2,3,6
2,3/4+1/8の答えは？,7/8,4/12,5/8,1
2,20％値引きして800円になった商品の値引き前の価格は？,1000円,900円,960円,1200円
1,「模範」の読み方は？,もはん,ぼはん,もうはん,もばん
1,「厳粛」の読み方は？,げんしゅく,げんしゅう,げんそく,げんじゅく
1,「憂う」の読み方は？,うれう,あらそう,したがう,まよう
1,「遵守」の読み方は？,じゅんしゅ,じゅんす,そんしゅ,ぞんしゅ
1,「猿も木から落ちる」の意味は？,得意な人でも失敗することがある,猿は木登りが苦手である,努力すれば何でもできる,木に登るのは危険である
1,「石の上にも三年」の意味は？,辛抱強く続ければ成果が出る,石は三年で壊れる,三年間勉強しなければならない,石を大切にするべきだ
1,「胸をなで下ろす」の意味は？,安心する,緊張する,驚く,胸を押さえる
1,「頭を抱える」の意味は？,深く悩む,頭が痛くなる,よく考える,寝る
1,「温故知新」の意味は？,昔を学び新しい知識を得ること,古いものを捨てること,新しい友達を作ること,新しいことだけを学ぶこと
1,「異口同音」の意味は？,多くの人が同じ意見を言うこと,話し方が違うこと,声が大きいこと,音楽が上手なこと
1,「蛇足」の意味は？,必要以上に余計なことをすること,危険なことに挑戦すること,足が速いこと,準備が完全なこと
1,「漁夫の利」の意味は？,二者が争う間に第三者が利益を得ること,漁師だけが利益を得ること,努力すれば利益を得られること,魚をたくさん捕ること
1,「杞憂」の意味は？,必要のない心配をすること,将来を楽しみにすること,人を信用しないこと,急いで行動すること
1,「人口に膾炙する」の意味は？,広く世間に知れ渡ること,人口が増えること,食文化が発達すること,人が集まること
1,「臨機応変」の意味は？,状況に応じて適切に対応すること,最後まで考えを変えないこと,急いで行動すること,人の意見を聞かないこと
1,「静かな公園」の「静かな」の品詞は？,形容動詞,形容詞,動詞,名詞
1,「速く走る」の「速く」の品詞は？,副詞,形容詞,動詞,助詞
1,「先生がお読みになる」は何敬語？,尊敬語,謙譲語,丁寧語,普通語
1,「先生が帰る」を尊敬語にすると？,先生がお帰りになる,先生がお帰りしました,先生が帰っていただく,先生が帰られるようです
1,「懸命」の意味は？,一生懸命に努力すること,のんびり取り組むこと,あきらめること,慌てて行動すること
3,"I ___ a student. に入る語は？",am,is,are,be
3,"She ___ tennis every day. に入る語は？",plays,play,played,playing
3,"They ___ in Japan. に入る語は？",live,lives,living,lived
3,"We ___ English yesterday. に入る語は？",studied,study,studies,studying
3,"He ___ TV now. に入る語は？",is watching,watches,watched,watch
3,"'りんご'を英語で言うと？",apple,orange,banana,grape
3,"'図書館'を英語で言うと？",library,school,hospital,station
3,"'先生'を英語で言うと？",teacher,student,doctor,nurse
3,"'美しい'を英語で言うと？",beautiful,small,fast,strong
3,"'速い'を英語で言うと？",fast,slow,high,long
3,"I have ___ dog. に入る語は？",a,an,the,some
3,"This is ___ book.（私の本）",my,me,mine,I
3,"Can you ___ me? に入る語は？",help,helps,helped,helping
3,"Let's ___ soccer. に入る語は？",play,plays,played,playing
3,"What ___ your name? に入る語は？",is,are,am,be
3,"How ___ you? に入る語は？",are,is,am,be
3,"'ありがとう'を英語で言うと？",Thank you,Good bye,Hello,Excuse me
3,"'おはよう'を英語で言うと？",Good morning,Good night,Good evening,See you
3,"'水'を英語で言うと？",water,milk,juice,tea
3,"'日曜日'を英語で言うと？",Sunday,Monday,Tuesday,Friday
5,日本の首都は？,東京,大阪,名古屋,福岡
5,日本で一番高い山は？,富士山,北岳,槍ヶ岳,白山
5,日本の国会は何院制？,二院制,一院制,三院制,四院制
5,日本の現在の元号は？,令和,平成,昭和,大正
5,北海道の県庁所在地は？,札幌市,旭川市,函館市,帯広市
5,日本で一番長い川は？,信濃川,利根川,石狩川,最上川
5,日本の47都道府県のうち一番南にある県は？,沖縄県,鹿児島県,宮崎県,高知県
5,三権分立で法律を作る機関は？,国会,内閣,裁判所,警察
5,三権分立で裁判を行う機関は？,裁判所,国会,内閣,都道府県
5,選挙で投票できる年齢は？,18歳,16歳,20歳,21歳
5,聖徳太子が制定したとされるものは？,十七条の憲法,大宝律令,五箇条の御誓文,武家諸法度
5,鎌倉幕府を開いた人物は？,源頼朝,徳川家康,織田信長,豊臣秀吉
5,江戸幕府を開いた人物は？,徳川家康,源頼朝,足利尊氏,豊臣秀吉
5,明治維新が始まった年は？,1868年,1603年,1192年,1945年
5,第二次世界大戦が終わった年は？,1945年,1939年,1918年,1950年
5,日本の通貨単位は？,円,ドル,ユーロ,ウォン
5,世界で最も面積が広い国は？,ロシア,中国,アメリカ,カナダ
5,赤道が通る大陸は？,アフリカ,ヨーロッパ,オセアニア,北アメリカ
5,日本の国旗に描かれているものは？,太陽,月,星,山
5,国際連合の略称は？,UN,NATO,WHO,OECD
4,水が100℃で沸騰するときの状態変化は？,気体になる,固体になる,氷になる,液体のまま
4,植物が光を利用して養分を作る働きを何という？,光合成,呼吸,蒸散,受粉
4,人間の血液を全身に送り出す臓器は？,心臓,肺,胃,腎臓
4,地球が太陽の周りを回る運動を何という？,公転,自転,回転,移動
4,月が地球の周りを回る運動を何という？,公転,自転,回転,移動
4,酸素の化学式は？,O₂,H₂,CO₂,N₂
4,水の化学式は？,H₂O,CO₂,O₂,H₂
4,植物が空気中から取り入れる気体は？,二酸化炭素,酸素,窒素,水素
4,金属をたたくと広がる性質を何という？,展性,延性,導電性,磁性
4,電流の単位は？,アンペア,ボルト,ワット,オーム
4,電圧の単位は？,ボルト,アンペア,ワット,オーム
4,地球の表面を最も多く覆っているものは？,海,森林,砂漠,氷
4,ばねを引っ張る力を大きくするとばねの伸びは？,大きくなる,小さくなる,変わらない,なくなる
4,音は何によって伝わる？,空気などの物質,光,真空,磁石
4,太陽は何の仲間？,恒星,惑星,衛星,彗星
4,地球の衛星は？,月,太陽,火星,金星
4,消化液でデンプンを分解するものは？,だ液,胃液,胆汁,汗
4,ヒトの体で呼吸を行う器官は？,肺,心臓,胃,肝臓
4,電気を通しやすいものは？,銅,木,プラスチック,ゴム
4,生物の体をつくる最小の単位は？,細胞,組織,器官,個体